year,geo_name,geo,income
2013,"Census Tract 82","14000US06073008200",76125.0
2014,"Census Tract 82","14000US06073008200",69803.0
2015,"Census Tract 82","14000US06073008200",64464.0
2013,"Census Tract 83.01","14000US06073008301",81009.0
2014,"Census Tract 83.01","14000US06073008301",101500.0
2015,"Census Tract 83.01","14000US06073008301",105175.0
2013,"Census Tract 83.06","14000US06073008306",100556.0
2014,"Census Tract 83.06","14000US06073008306",106528.0
2015,"Census Tract 83.06","14000US06073008306",115536.0
2013,"Census Tract 106.01","14000US06073010601",109813.0
2014,"Census Tract 106.01","14000US06073010601",111464.0
2015,"Census Tract 106.01","14000US06073010601",111326.0
2013,"Census Tract 83.07","14000US06073008307",91616.0
2014,"Census Tract 83.07","14000US06073008307",89295.0
2015,"Census Tract 83.07","14000US06073008307",90581.0
2013,"Census Tract 83.27","14000US06073008327",128314.0
2014,"Census Tract 83.27","14000US06073008327",123488.0
2015,"Census Tract 83.27","14000US06073008327",124350.0
2013,"Census Tract 83.29","14000US06073008329",81955.0
2014,"Census Tract 83.29","14000US06073008329",82435.0
2015,"Census Tract 83.29","14000US06073008329",84782.0
2013,"Census Tract 83.30","14000US06073008330",111483.0
2014,"Census Tract 83.30","14000US06073008330",118750.0
2015,"Census Tract 83.30","14000US06073008330",121439.0
2013,"Census Tract 113","14000US06073011300",126518.0
2014,"Census Tract 113","14000US06073011300",129500.0
2015,"Census Tract 113","14000US06073011300",140250.0
2013,"Census Tract 85.11","14000US06073008511",76563.0
2014,"Census Tract 85.11","14000US06073008511",77260.0
2015,"Census Tract 85.11","14000US06073008511",75599.0
2013,"Census Tract 56","14000US06073005600",64901.0
2014,"Census Tract 56","14000US06073005600",56458.0
2015,"Census Tract 56","14000US06073005600",58804.0
2013,"Census Tract 78","14000US06073007800",51397.0
2014,"Census Tract 78","14000US06073007800",53908.0
2015,"Census Tract 78","14000US06073007800",58912.0
2013,"Census Tract 85.03","14000US06073008503",77500.0
2014,"Census Tract 85.03","14000US06073008503",73086.0
2015,"Census Tract 85.03","14000US06073008503",74489.0
2013,"Census Tract 99.02","14000US06073009902",None
2014,"Census Tract 99.02","14000US06073009902",None
2015,"Census Tract 99.02","14000US06073009902",None
2013,"Census Tract 93.04","14000US06073009304",66818.0
2014,"Census Tract 93.04","14000US06073009304",71569.0
2015,"Census Tract 93.04","14000US06073009304",72633.0
2013,"Census Tract 92.02","14000US06073009202",95877.0
2014,"Census Tract 92.02","14000US06073009202",80578.0
2015,"Census Tract 92.02","14000US06073009202",77639.0
2013,"Census Tract 85.01","14000US06073008501",78089.0
2014,"Census Tract 85.01","14000US06073008501",82556.0
2015,"Census Tract 85.01","14000US06073008501",83000.0
2013,"Census Tract 77.01","14000US06073007701",78680.0
2014,"Census Tract 77.01","14000US06073007701",79836.0
