USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06037104103	949109	0	0.366	0.	34.2820993	-118.3925764                                                                                                                                                
CA	06037104105	584710	0	0.226	0.	34.276148	-118.4046862                                                                                                                                                 
CA	06037104108	1096645	0	0.423	0.	34.2731497	-118.39857                                                                                                                                                 
CA	06037104124	4479383	980	1.729	0.	34.2900933	-118.374193                                                                                                                                              
CA	06037104201	1090103	0	0.421	0.	34.2865005	-118.4160998                                                                                                                                               
CA	06037104203	707947	0	0.273	0.	34.2790581	-118.4115543                                                                                                                                                
CA	06037104204	2664512	3735	1.029	0.001	34.2912875	-118.3931176                                                                                                                                         
CA	06037104310	1508622	0	0.582	0.	34.2763731	-118.4292815                                                                                                                                               
CA	06037104320	1212169	0	0.468	0.	34.2731324	-118.4202492                                                                                                                                               
CA	06037104401	681117	0	0.263	0.	34.2670388	-118.4327217                                                                                                                                                
CA	06037104403	693083	0	0.268	0.	34.2587946	-118.4344932                                                                                                                                                
CA	06037104404	539620	0	0.208	0.	34.2639207	-118.4286916                                                                                                                                                
CA	06037104500	531002	0	0.205	0.	34.2555108	-118.4257479                                                                                                                                                
CA	06037104610	592138	0	0.229	0.	34.2604355	-118.4189927                                                                                                                                                
CA	06037104620	531171	0	0.205	0.	34.2579043	-118.4224647                                                                                                                                                
CA	06037104701	550502	0	0.213	0.	34.2684745	-118.415214                                                                                                                                                 
CA	06037104703	1168606	0	0.451	0.	34.2552267	-118.4005897                                                                                                                                               
CA	06037104704	1662660	0	0.642	0.	34.2625316	-118.4088637                                                                                                                                               
CA	06037104810	1123361	0	0.434	0.	34.2502996	-118.4111792                                                                                                                                               
CA	06037104821	531802	0	0.205	0.	34.2465705	-118.4162955                                                                                                                                                
CA	06037104822	604352	0	0.233	0.	34.2458703	-118.4209447                                                                                                                                                
CA	06037106010	2517816	0	0.972	0.	34.3253415	-118.4434033                                                                                                                                               
CA	06037106020	2010765	7144	0.776	0.003	34.3232264	-118.4294854                                                                                                                                         
CA	06037106111	3813566	12394	1.472	0.005	34.3213672	-118.407505                                                                                                                                         
CA	06037106112	3222752	0	1.244	0.	34.305491	-118.4124422                                                                                                                                                
CA	06037106113	1443466	0	0.557	0.	34.3061546	-118.4222071                                                                                                                                               
CA	06037106114	1011788	3298	0.391	0.001	34.3023558	-118.4268073                                                                                                                                         
CA	06037106403	1105659	0	0.427	0.	34.3060186	-118.4412741                                                                                                                                               
CA	06037106405	1171699	0	0.452	0.	34.3146862	-118.4482858                                                                                                                                               
CA	06037106406	2085950	916	0.805	0.	34.322861	-118.4589744                                                                                                                                              
CA	06037106407	232127	0	0.09	0.	34.3105742	-118.4365572                                                                                                                                                 
CA	06037106408	229094	0	0.088	0.	34.313263	-118.4400767                                                                                                                                                 
CA	06037106510	5708881	8398	2.204	0.003	34.3263984	-118.4796123                                                                                                                                         
CA	06037106520	2205882	0	0.852	0.	34.3088574	-118.4613523                                                                                                                                               
CA	06037106603	15302666	3978	5.908	0.002	34.3121073	-118.5243083                                                                                                                                        
